customer_id,order_id,order_date,ship_date,ship_mode,months
CS-12250,CA-2017-148992,23-11-2017,27-11-2017,Standard Class,November 
CA-11965,CA-2016-157791,23-12-2016,28-12-2016,Second Class,December 
SV-20785,US-2014-158365,12-04-2014,17-04-2014,Standard Class,April    
PF-19165,US-2014-134614,20-09-2014,25-09-2014,Standard Class,September
LC-16930,CA-2014-109491,20-02-2014,26-02-2014,Standard Class,February 
DR-12880,CA-2017-134404,27-12-2017,27-12-2017,Same Day,December 
NB-18655,CA-2016-161816,28-04-2016,01-05-2016,First Class,April    
KD-16345,US-2014-138828,02-09-2014,03-09-2014,First Class,September
DC-13285,US-2017-136189,07-12-2017,11-12-2017,Standard Class,December 
PC-18745,CA-2014-150245,31-12-2014,04-01-2015,Second Class,December 
IL-15100,CA-2016-169971,04-09-2016,09-09-2016,Standard Class,September
JK-15640,US-2015-137533,18-12-2015,18-12-2015,Same Day,December 
NW-18400,CA-2015-102582,15-09-2015,19-09-2015,Standard Class,September
EA-14035,CA-2016-121447,21-02-2016,22-02-2016,First Class,February 
DB-12910,CA-2016-137176,09-09-2016,14-09-2016,Second Class,September
CM-12190,CA-2017-165386,03-08-2017,04-08-2017,First Class,August   
AB-10060,CA-2015-150511,18-09-2015,24-09-2015,Standard Class,September
EM-13810,CA-2017-137344,20-08-2017,20-08-2017,Same Day,August   
AS-10090,CA-2017-136448,16-09-2017,18-09-2017,First Class,September
RF-19840,CA-2017-136497,16-04-2017,20-04-2017,Standard Class,April    
MP-17965,US-2015-145121,02-10-2015,06-10-2015,Standard Class,October  
GZ-14470,CA-2015-123141,14-11-2015,19-11-2015,Standard Class,November 
EH-13765,CA-2016-153836,30-10-2016,03-11-2016,Standard Class,October  
DR-12940,CA-2015-104871,30-03-2015,03-04-2015,Standard Class,March    
CK-12205,CA-2014-166884,11-03-2014,16-03-2014,Second Class,March    
AR-10825,CA-2017-118724,21-07-2017,25-07-2017,Second Class,July     
FO-14305,CA-2017-141992,19-06-2017,25-06-2017,Standard Class,June     
PF-19225,US-2016-163258,29-12-2016,02-01-2017,Standard Class,December 
ML-17755,CA-2016-110254,04-08-2016,08-08-2016,Standard Class,August   
MC-18100,CA-2017-126242,19-11-2017,24-11-2017,Standard Class,November 
AY-10555,CA-2016-139934,18-12-2016,20-12-2016,First Class,December 
CK-12760,CA-2014-107755,07-02-2014,12-02-2014,Standard Class,February 
RP-19390,CA-2015-128356,02-10-2015,07-10-2015,Standard Class,October  
RB-19570,US-2016-104815,03-09-2016,07-09-2016,Standard Class,September
PA-19060,CA-2015-129476,15-10-2015,20-10-2015,Standard Class,October  
JS-15880,CA-2016-162082,14-03-2016,17-03-2016,First Class,March    
EB-13705,CA-2017-147277,20-10-2017,24-10-2017,Standard Class,October  
KA-16525,CA-2015-142993,12-10-2015,17-10-2015,Standard Class,October  
JB-15400,CA-2015-121608,03-09-2015,05-09-2015,First Class,September
LW-17215,CA-2017-102218,02-09-2017,04-09-2017,Second Class,September
IG-15085,CA-2015-101000,09-04-2015,14-04-2015,Standard Class,April    
EC-14050,CA-2014-139633,17-12-2014,24-12-2014,Standard Class,December 
DN-13690,CA-2014-119977,08-10-2014,13-10-2014,Second Class,October  
JP-16135,CA-2017-139787,19-09-2017,23-09-2017,Standard Class,September
CC-12220,CA-2014-166891,04-10-2014,06-10-2014,First Class,October  
SP-20860,CA-2015-156923,16-02-2015,20-02-2015,Standard Class,February 
LH-17155,CA-2016-144092,05-11-2016,07-11-2016,Second Class,November 
MG-17875,CA-2017-120705,05-09-2017,11-09-2017,Standard Class,September
CS-12400,CA-2017-107293,05-09-2017,06-09-2017,First Class,September
AJ-10945,CA-2014-155852,03-03-2014,07-03-2014,Second Class,March    
SP-20545,CA-2014-123316,13-10-2014,17-10-2014,Standard Class,October  
ND-18370,CA-2015-114069,13-07-2015,15-07-2015,Second Class,July     
SC-20260,CA-2014-169803,06-04-2014,12-04-2014,Standard Class,April    
JD-15895,CA-2014-138436,26-03-2014,30-03-2014,Standard Class,March    
CC-12550,CA-2017-123071,03-12-2017,06-12-2017,First Class,December 
PO-18850,US-2017-106705,26-12-2017,01-01-2018,Standard Class,December 
MD-17860,US-2014-117744,02-12-2014,06-12-2014,Standard Class,December 
EB-13840,CA-2016-139885,04-12-2016,08-12-2016,Standard Class,December 
TH-21550,CA-2017-112956,21-08-2017,27-08-2017,Standard Class,August   
AS-10240,CA-2016-114405,07-04-2016,12-04-2016,Standard Class,April    
HK-14890,CA-2017-124576,01-08-2017,04-08-2017,Second Class,August   
NS-18640,CA-2017-134635,15-04-2017,17-04-2017,Second Class,April    
JO-15145,US-2017-168802,03-11-2017,07-11-2017,Standard Class,November 
AB-10150,CA-2016-147970,31-01-2016,02-02-2016,Second Class,January  
TS-21085,US-2015-160150,19-07-2015,20-07-2015,First Class,July     
AR-10825,CA-2017-141425,02-11-2017,06-11-2017,Second Class,November 
KC-16255,US-2016-128293,02-06-2016,05-06-2016,First Class,June     
SR-20740,CA-2015-154970,05-01-2015,10-01-2015,Standard Class,January  
GH-14425,CA-2014-144414,17-06-2014,21-06-2014,Standard Class,June     
DL-13315,CA-2016-149783,04-09-2016,07-09-2016,Second Class,September
PP-18955,US-2016-108504,05-02-2016,05-02-2016,Same Day,February 
MC-17275,CA-2015-105599,07-09-2015,07-09-2015,Same Day,September
JW-16075,CA-2016-109176,09-05-2016,15-05-2016,Standard Class,May      
TH-21115,CA-2016-125087,18-04-2016,23-04-2016,Standard Class,April    
EM-13960,CA-2015-156566,01-10-2015,04-10-2015,First Class,October  
NM-18445,US-2015-152128,25-05-2015,27-05-2015,Second Class,May      
JL-15850,US-2016-150147,25-04-2016,29-04-2016,Second Class,April    
VG-21790,CA-2014-156790,08-08-2014,10-08-2014,Second Class,August   
SC-20260,US-2014-127635,14-09-2014,18-09-2014,Second Class,September
SV-20365,US-2017-165358,18-07-2017,23-07-2017,Standard Class,July     
SN-20560,CA-2017-152093,10-09-2017,15-09-2017,Standard Class,September
CT-11995,CA-2014-166086,07-05-2014,12-05-2014,Standard Class,May      
BD-11725,CA-2017-101574,28-09-2017,04-10-2017,Standard Class,September
AJ-10795,CA-2014-110786,29-12-2014,02-01-2015,Standard Class,December 
KD-16495,CA-2017-104619,24-01-2017,29-01-2017,Standard Class,January  
SE-20110,CA-2014-158225,22-09-2014,28-09-2014,Standard Class,September
RP-19390,CA-2016-101980,19-08-2016,20-08-2016,First Class,August   
CS-12175,CA-2017-161592,06-04-2017,10-04-2017,Standard Class,April    
RW-19540,CA-2017-166093,17-08-2017,24-08-2017,Standard Class,August   
LC-16930,US-2017-137491,19-11-2017,25-11-2017,Standard Class,November 
DL-12925,CA-2017-121615,03-11-2017,09-11-2017,Standard Class,November 
KL-16645,CA-2014-143917,25-07-2014,27-07-2014,Second Class,July     
RD-19810,CA-2017-127474,03-02-2017,07-02-2017,Second Class,February 
NP-18325,CA-2015-143490,06-12-2015,13-12-2015,Standard Class,December 
DE-13255,CA-2014-109134,05-11-2014,10-11-2014,Standard Class,November 
BP-11230,CA-2014-101462,20-04-2014,25-04-2014,Standard Class,April    
LR-16915,CA-2015-141327,30-11-2015,03-12-2015,First Class,November 
EH-14005,CA-2014-140165,13-05-2014,15-05-2014,First Class,May      
AJ-10960,CA-2014-113362,14-09-2014,19-09-2014,Standard Class,September
NP-18685,CA-2015-141768,25-05-2015,27-05-2015,Second Class,May      
AH-10690,CA-2016-144148,31-07-2016,05-08-2016,Standard Class,July     
CC-12670,CA-2015-128993,12-09-2015,17-09-2015,Second Class,September
BM-11650,CA-2017-152912,09-11-2017,12-11-2017,Second Class,November 
DO-13645,CA-2017-118003,04-12-2017,10-12-2017,Standard Class,December 
DJ-13510,US-2017-118535,11-02-2017,15-02-2017,Standard Class,February 
JP-15520,CA-2016-117604,04-09-2016,09-09-2016,Standard Class,September
IM-15055,CA-2016-124527,16-11-2016,17-11-2016,First Class,November 
GK-14620,CA-2017-139444,09-09-2017,15-09-2017,Standard Class,September
ME-18010,CA-2014-116932,21-07-2014,25-07-2014,Standard Class,July     
JF-15190,US-2017-123862,07-01-2017,09-01-2017,Second Class,January  
FG-14260,CA-2017-155607,26-11-2017,30-11-2017,Standard Class,November 
MM-17260,CA-2014-108861,28-05-2014,01-06-2014,Standard Class,May      
KW-16435,CA-2017-144904,25-09-2017,01-10-2017,Standard Class,September
TB-21055,CA-2017-163566,03-08-2017,06-08-2017,First Class,August   
FA-14230,CA-2014-156601,19-09-2014,24-09-2014,Standard Class,September
SC-20095,CA-2016-126158,25-07-2016,31-07-2016,Standard Class,July     
AR-10540,CA-2016-138037,29-09-2016,03-10-2016,Standard Class,September
AR-10510,CA-2014-115056,02-05-2014,02-05-2014,Same Day,May      
PG-18895,CA-2017-122056,13-06-2017,17-06-2017,Standard Class,June     
AA-10315,CA-2015-121391,04-10-2015,07-10-2015,First Class,October  
SH-20395,CA-2017-168172,06-08-2017,10-08-2017,Standard Class,August   
AS-10630,US-2017-129224,17-03-2017,23-03-2017,Standard Class,March    
RS-19420,US-2017-128951,15-07-2017,17-07-2017,First Class,July     
KD-16495,CA-2016-123337,16-09-2016,22-09-2016,Standard Class,September
CR-12730,CA-2016-164035,12-06-2016,17-06-2016,Standard Class,June     
SW-20275,CA-2017-137022,16-11-2017,22-11-2017,Standard Class,November 
HM-14860,CA-2017-127117,14-04-2017,19-04-2017,Standard Class,April    
MG-17875,CA-2015-134992,22-09-2015,26-09-2015,Second Class,September
JS-15685,CA-2016-155747,14-06-2016,21-06-2016,Standard Class,June     
MB-18085,CA-2017-122945,16-11-2017,22-11-2017,Standard Class,November 
NZ-18565,US-2017-148054,06-10-2017,11-10-2017,Standard Class,October  
MO-17800,CA-2015-133025,17-09-2015,19-09-2015,Second Class,September
BF-11020,CA-2017-134495,01-04-2017,04-04-2017,Second Class,April    
CV-12805,CA-2017-164707,18-02-2017,21-02-2017,Second Class,February 
DJ-13510,CA-2017-137876,30-04-2017,05-05-2017,Standard Class,April    
RH-19495,CA-2014-110639,23-08-2014,23-08-2014,Same Day,August   
NW-18400,CA-2014-168984,26-11-2014,02-12-2014,Standard Class,November 
SN-20710,CA-2016-169957,26-09-2016,30-09-2016,Standard Class,September
PK-19075,CA-2017-147753,05-03-2017,05-03-2017,Same Day,March    
BG-11695,US-2016-162852,27-12-2016,31-12-2016,Standard Class,December 
KB-16405,CA-2017-161067,03-09-2017,06-09-2017,Second Class,September
TS-21430,US-2016-100405,26-08-2016,28-08-2016,Second Class,August   
PJ-19015,CA-2017-143686,14-05-2017,14-05-2017,Same Day,May      
DL-13315,CA-2017-155159,25-11-2017,29-11-2017,Second Class,November 
SC-20770,CA-2017-112529,19-11-2017,21-11-2017,First Class,November 
JG-15160,CA-2015-131856,12-05-2015,17-05-2015,Standard Class,May      
SM-20950,CA-2016-154067,01-02-2016,07-02-2016,Standard Class,February 
GA-14725,CA-2017-114636,25-08-2017,29-08-2017,Standard Class,August   
BP-11290,CA-2016-142398,12-04-2016,16-04-2016,Standard Class,April    
KD-16270,US-2016-143819,01-03-2016,05-03-2016,Standard Class,March    
DL-13315,CA-2014-115791,16-01-2014,18-01-2014,Second Class,January  
SP-20860,CA-2015-105158,05-09-2015,10-09-2015,Standard Class,September
DJ-13510,CA-2016-128594,26-08-2016,29-08-2016,First Class,August   
TP-21130,CA-2015-116841,14-04-2015,18-04-2015,Standard Class,April    
PA-19060,CA-2015-105970,02-03-2015,07-03-2015,Standard Class,March    
DM-12955,CA-2016-163153,21-03-2016,25-03-2016,Standard Class,March    
DS-13180,CA-2016-119074,27-03-2016,31-03-2016,Standard Class,March    
EH-13945,CA-2017-160458,27-05-2017,29-05-2017,Second Class,May      
CA-12265,CA-2015-120362,14-09-2015,19-09-2015,Standard Class,September
EM-14200,CA-2017-167549,25-07-2017,27-07-2017,First Class,July     
ML-17410,CA-2017-154109,06-11-2017,11-11-2017,Standard Class,November 
DB-13210,CA-2017-109960,09-12-2017,11-12-2017,Second Class,December 
IM-15070,CA-2016-161389,05-12-2016,10-12-2016,Standard Class,December 
HG-15025,CA-2017-117821,12-06-2017,16-06-2017,Standard Class,June     
DH-13075,US-2017-147886,28-03-2017,31-03-2017,First Class,March    
ME-17320,CA-2017-137624,10-11-2017,17-11-2017,Standard Class,November 
VP-21760,CA-2014-109932,09-12-2014,11-12-2014,First Class,December 
SC-20260,CA-2017-107132,26-06-2017,30-06-2017,Standard Class,June     
DK-13375,CA-2017-133046,27-07-2017,01-08-2017,Second Class,July     
DG-13300,US-2015-153500,03-07-2015,05-07-2015,First Class,July     
DL-13495,CA-2015-153717,25-12-2015,01-01-2016,Standard Class,December 
JM-15865,CA-2016-130393,01-12-2016,03-12-2016,Second Class,December 
AG-10900,CA-2015-148376,27-12-2015,31-12-2015,Standard Class,December 
TS-21340,CA-2015-146829,10-03-2015,10-03-2015,Same Day,March    
DB-12910,CA-2017-124898,11-09-2017,15-09-2017,Standard Class,September
TD-20995,CA-2017-104010,23-04-2017,25-04-2017,First Class,April    
KS-16300,CA-2017-155824,10-03-2017,15-03-2017,Standard Class,March    
ON-18715,CA-2016-118255,11-03-2016,13-03-2016,First Class,March    
JH-16180,US-2016-114293,21-11-2016,26-11-2016,Standard Class,November 
SC-20440,CA-2015-166135,01-10-2015,06-10-2015,Standard Class,October  
ME-17320,CA-2016-160717,06-06-2016,11-06-2016,Standard Class,June     
NP-18700,CA-2017-169264,14-08-2017,16-08-2017,Second Class,August   
SW-20350,US-2016-133508,17-04-2016,21-04-2016,Standard Class,April    
PV-18985,CA-2014-161508,12-07-2014,16-07-2014,Standard Class,July     
SP-20920,CA-2017-100356,21-10-2017,25-10-2017,Standard Class,October  
LP-17080,CA-2016-116722,11-11-2016,16-11-2016,Standard Class,November 
PJ-19015,CA-2015-122973,18-07-2015,20-07-2015,Second Class,July     
TH-21235,CA-2016-132409,26-05-2016,01-06-2016,Standard Class,May      
LF-17185,CA-2016-106341,20-10-2016,23-10-2016,First Class,October  
BD-11620,CA-2016-111941,25-12-2016,28-12-2016,Second Class,December 
RW-19540,CA-2015-124800,26-09-2015,30-09-2015,Standard Class,September
SC-20305,CA-2017-106103,10-06-2017,15-06-2017,Standard Class,June     
SL-20155,CA-2016-100587,10-12-2016,14-12-2016,Standard Class,December 
TM-21010,CA-2014-156006,30-04-2014,02-05-2014,Second Class,April    
MC-17575,CA-2017-167703,03-02-2017,08-02-2017,Standard Class,February 
MV-17485,CA-2016-161361,26-03-2016,28-03-2016,Second Class,March    
ND-18460,CA-2017-164112,30-06-2017,04-07-2017,Standard Class,June     
CV-12805,CA-2017-137582,04-09-2017,08-09-2017,Standard Class,September
KH-16510,CA-2014-138023,15-08-2014,18-08-2014,First Class,August   
SZ-20035,US-2017-111024,03-07-2017,06-07-2017,Second Class,July     
CK-12325,CA-2016-134789,08-04-2016,15-04-2016,Standard Class,April    
BM-11650,CA-2014-125514,21-09-2014,22-09-2014,First Class,September
AB-10600,CA-2014-115336,18-11-2014,25-11-2014,Standard Class,November 
JB-16045,CA-2016-139269,25-05-2016,30-05-2016,Standard Class,May      
MA-17995,CA-2017-123638,27-06-2017,04-07-2017,Standard Class,June     
AC-10660,US-2014-122021,15-10-2014,17-10-2014,First Class,October  
NF-18595,CA-2015-160864,03-05-2015,06-05-2015,First Class,May      
DA-13450,CA-2014-115133,26-09-2014,30-09-2014,Standard Class,September
AG-10525,CA-2015-169572,06-09-2015,12-09-2015,Standard Class,September
MC-18100,CA-2015-116512,09-04-2015,14-04-2015,Standard Class,April    
CS-12400,US-2015-119312,02-10-2015,07-10-2015,Second Class,October  
DF-13135,CA-2014-153479,04-10-2014,08-10-2014,Standard Class,October  
MO-17500,CA-2016-121601,04-10-2016,04-10-2016,Same Day,October  
GW-14605,CA-2017-155075,02-12-2017,09-12-2017,Standard Class,December 
DK-13225,CA-2017-105480,20-12-2017,26-12-2017,Standard Class,December 
LW-16825,CA-2014-160773,01-07-2014,05-07-2014,Standard Class,July     
JK-15640,CA-2015-143980,25-12-2015,29-12-2015,Standard Class,December 
EN-13780,CA-2015-103177,30-05-2015,01-06-2015,First Class,May      
CM-12235,CA-2016-155845,12-08-2016,15-08-2016,Second Class,August   
MG-17680,CA-2014-110072,22-10-2014,28-10-2014,Standard Class,October  
SZ-20035,CA-2014-105165,07-09-2014,10-09-2014,First Class,September
KD-16270,CA-2016-130407,02-09-2016,06-09-2016,Standard Class,September
BP-11290,CA-2016-142895,21-07-2016,26-07-2016,Standard Class,July     
JH-15820,CA-2017-117870,27-01-2017,30-01-2017,Second Class,January  
RD-19930,CA-2015-139248,25-07-2015,30-07-2015,Standard Class,July     
HG-14965,CA-2014-126480,20-09-2014,24-09-2014,Standard Class,September
EP-13915,US-2016-119298,25-11-2016,28-11-2016,First Class,November 
GP-14740,CA-2014-136742,06-04-2014,10-04-2014,Standard Class,April    
CS-12250,CA-2016-161095,28-06-2016,28-06-2016,Same Day,June     
MC-17590,CA-2014-127446,25-11-2014,30-11-2014,Standard Class,November 
BB-10990,US-2017-112928,01-06-2017,05-06-2017,Second Class,June     
MY-18295,CA-2016-164770,02-12-2016,04-12-2016,Second Class,December 
LW-16990,US-2016-102239,05-05-2016,06-05-2016,First Class,May      
PM-18940,CA-2015-141250,19-01-2015,23-01-2015,Standard Class,January  
DR-12940,CA-2017-160899,11-08-2017,13-08-2017,Second Class,August   
XP-21865,CA-2015-155586,12-12-2015,16-12-2015,Second Class,December 
DP-13390,CA-2017-154466,01-01-2017,02-01-2017,First Class,January  
EH-13765,CA-2016-135776,23-12-2016,30-12-2016,Standard Class,December 
KB-16585,CA-2015-101924,04-09-2015,09-09-2015,Standard Class,September
LT-17110,CA-2017-122700,26-11-2017,30-11-2017,Standard Class,November 
JF-15415,CA-2015-102855,05-04-2015,06-04-2015,Same Day,April    
PM-19135,US-2015-134558,19-12-2015,24-12-2015,Second Class,December 
VM-21685,CA-2016-113516,08-09-2016,10-09-2016,Second Class,September
AG-10495,CA-2017-132976,13-10-2017,17-10-2017,Standard Class,October  
RF-19735,CA-2016-105585,26-08-2016,27-08-2016,First Class,August   
JH-15985,CA-2015-116638,28-01-2015,31-01-2015,Second Class,January  
KB-16585,CA-2016-116547,10-01-2016,17-01-2016,Standard Class,January  
DO-13645,CA-2015-126669,07-11-2015,13-11-2015,Standard Class,November 
TB-21280,CA-2016-134887,25-03-2016,25-03-2016,Same Day,March    
EH-14125,US-2015-154389,27-11-2015,03-12-2015,Standard Class,November 
CS-12490,CA-2015-128608,12-01-2015,17-01-2015,Standard Class,January  
JP-15520,CA-2014-130918,22-08-2014,24-08-2014,Second Class,August   
JD-16060,CA-2017-168123,05-03-2017,05-03-2017,Same Day,March    
RW-19630,CA-2014-156993,28-06-2014,04-07-2014,Standard Class,June     
AD-10180,US-2017-136784,30-04-2017,05-05-2017,Standard Class,April    
PA-19060,US-2016-158309,26-11-2016,29-11-2016,First Class,November 
GD-14590,CA-2014-111934,05-05-2014,07-05-2014,First Class,May      
MM-18280,CA-2017-148068,18-09-2017,25-09-2017,Standard Class,September
LR-16915,CA-2016-126732,02-09-2016,06-09-2016,Standard Class,September
JG-15310,CA-2017-103765,24-11-2017,30-11-2017,Standard Class,November 
LS-17230,CA-2014-130813,06-01-2014,08-01-2014,Second Class,January  
HA-14920,CA-2014-157924,11-10-2014,13-10-2014,First Class,October  
LC-16885,CA-2015-106362,11-12-2015,15-12-2015,Standard Class,December 
HM-14860,CA-2015-118871,04-12-2015,09-12-2015,Second Class,December 
