order_id,product_id,sales,quantity,profit,discount
CA-2016-130638,OFF-LA-10002195,27.7,9,13.3,0
US-2017-133200,OFF-ST-10001932,772.7,5,-58,0.2
CA-2016-133340,TEC-AC-10001109,60,2,25.2,0
CA-2017-120019,TEC-PH-10000923,15,1,7.3,0
CA-2016-164896,OFF-PA-10002246,12.9,2,6.3,0
CA-2017-112956,OFF-PA-10000357,277.4,5,133.2,0
CA-2015-134894,FUR-CH-10002647,283.9,4,71,0
CA-2014-129091,OFF-EN-10001990,11.4,2,5.3,0
CA-2014-138296,OFF-ST-10002444,24.6,2,6.9,0
CA-2014-118962,FUR-CH-10003817,340.1,7,21.3,0.2
CA-2014-131450,FUR-FU-10001979,327.8,8,91.8,0
CA-2014-136399,FUR-CH-10002602,241.6,2,18.1,0.2
CA-2016-112109,FUR-CH-10004287,662.9,3,74.6,0.2
CA-2016-130162,TEC-PH-10002563,302.4,3,22.7,0.2
CA-2015-110289,OFF-EN-10001434,210.8,4,103.3,0
CA-2017-159954,OFF-BI-10004876,2.8,1,1.4,0
CA-2017-100622,OFF-BI-10002982,4.1,2,-3,0.7
CA-2015-132486,OFF-EN-10002600,11.8,4,5.7,0
CA-2016-133368,FUR-FU-10003374,315.8,8,31.6,0.2
CA-2014-146997,OFF-FA-10003467,5.9,3,0,0
US-2014-102071,TEC-AC-10003441,67.8,4,4.1,0
CA-2016-144344,FUR-FU-10000076,48,3,13.8,0.2
CA-2017-152975,FUR-CH-10003298,589.4,5,-6.5,0.1
CA-2015-120320,TEC-PH-10000149,31.9,2,2.4,0.2
CA-2017-142622,FUR-CH-10004289,614.3,8,-23,0.2
CA-2017-140872,OFF-BI-10002432,4.6,3,-3.5,0.7
CA-2016-116232,OFF-BI-10004022,7.5,9,-6,0.7
CA-2014-143903,FUR-FU-10003724,16.7,5,-14.2,0.6
CA-2014-166961,OFF-FA-10003485,7.9,3,3.6,0
CA-2015-145821,TEC-PH-10004348,88.8,3,11.1,0.2
CA-2016-142524,OFF-EN-10003286,16.6,2,7.8,0
CA-2014-124709,TEC-AC-10002842,238,2,38.1,0
CA-2015-113110,OFF-PA-10002749,40.1,6,19.7,0
CA-2015-167010,TEC-PH-10002844,42,2,-9.8,0.4
CA-2014-105417,FUR-FU-10004864,76.7,3,-53.7,0.6
CA-2017-138464,OFF-BI-10001543,86.4,3,30.2,0.2
CA-2014-111003,OFF-AR-10002135,289.2,6,83.9,0
US-2016-151827,TEC-AC-10003289,32,2,1.2,0.2
US-2015-106873,OFF-AR-10001246,16.5,7,1.9,0.2
CA-2017-169859,OFF-EN-10000461,43.7,5,20.5,0
CA-2015-105634,OFF-AR-10001573,11.7,5,3.4,0
CA-2014-132010,OFF-ST-10003641,315.2,4,6.3,0
CA-2016-157742,OFF-EN-10002592,27.8,3,10.4,0.2
US-2014-140116,OFF-AR-10001044,83.2,4,9.4,0.2
CA-2015-162166,OFF-PA-10002606,26.4,5,11.9,0
CA-2017-135860,OFF-ST-10001522,92,1,3.7,0
CA-2016-113425,FUR-BO-10002598,113.6,2,12.8,0.2
CA-2017-147032,OFF-BI-10003656,850,5,391,0
CA-2016-108959,OFF-ST-10001272,104.7,1,6.5,0.2
CA-2014-103989,OFF-LA-10000443,11.8,4,4,0.2
CA-2014-113257,TEC-AC-10004171,320,4,96,0.2
CA-2014-129189,FUR-CH-10004997,657.9,5,-94,0.3
CA-2016-165169,OFF-ST-10001496,360.4,2,93.7,0
US-2016-155768,OFF-ST-10002292,1112.9,3,222.6,0
CA-2016-167983,OFF-BI-10003727,33.4,10,11.7,0.2
US-2017-168116,OFF-AP-10002457,167.4,2,14.7,0.2
CA-2017-157987,OFF-LA-10001641,18.9,6,9.1,0
CA-2017-143686,FUR-FU-10000794,18.3,2,6.2,0
CA-2016-136595,FUR-FU-10004671,21.2,3,-11.7,0.6
US-2016-146710,OFF-SU-10004498,51.5,5,-10.9,0.2
CA-2014-154599,TEC-PH-10001557,1075.1,14,94.1,0.2
CA-2017-134194,OFF-BI-10003684,39.6,9,-59.4,0.8
CA-2017-153822,TEC-PH-10002415,471.9,2,29.5,0.2
US-2017-140907,TEC-AC-10004510,49.1,3,4.9,0
CA-2017-111689,FUR-CH-10004287,1242.9,5,262.4,0.1
US-2015-129553,TEC-PH-10004897,30,3,0.3,0
CA-2017-116946,FUR-BO-10000468,102,7,-183.6,0.7
CA-2017-146346,OFF-ST-10001418,146.4,3,-32.9,0.2
CA-2017-152926,OFF-AP-10004708,15.2,2,-38.8,0.8
CA-2017-127432,OFF-ST-10004507,51.5,3,13.9,0
CA-2016-145982,OFF-PA-10002666,81.5,9,36.7,0
CA-2016-130911,FUR-BO-10004357,301.5,3,-241.2,0.5
US-2014-102715,OFF-FA-10001332,6.9,3,2.3,0.2
CA-2015-131338,TEC-PH-10000984,980,5,274.4,0
CA-2014-101931,OFF-SU-10002301,6.3,2,0.1,0
CA-2014-165764,FUR-TA-10001768,945,6,-299.3,0.4
CA-2014-107454,OFF-LA-10001569,34.9,7,16,0
CA-2014-110786,OFF-LA-10001474,274.8,9,126.4,0
CA-2015-109001,TEC-PH-10000562,466.2,7,-93.2,0.4
CA-2015-134075,OFF-ST-10001496,360.4,2,93.7,0
CA-2015-158421,OFF-ST-10000563,64,2,6.4,0
CA-2016-128412,OFF-PA-10001125,123.9,4,55.8,0
CA-2016-157000,OFF-ST-10001328,37.2,3,3.7,0.2
CA-2016-114860,FUR-FU-10000277,842.7,8,202.3,0
CA-2014-117464,OFF-ST-10003058,236.5,10,68.6,0
CA-2017-161046,TEC-AC-10004571,300,3,126,0
CA-2015-146255,OFF-BI-10000309,30.4,2,14.9,0
US-2016-147711,OFF-LA-10004093,58.5,8,27.5,0
CA-2015-149748,OFF-PA-10002120,274.8,5,134.7,0
CA-2014-141110,OFF-PA-10002586,14.9,3,7,0
CA-2014-103940,OFF-ST-10004963,30.3,2,1.2,0
US-2014-112564,OFF-BI-10004876,2.5,3,-1.8,0.7
CA-2015-165050,OFF-BI-10001031,21.4,5,7.2,0.2
CA-2017-140760,OFF-EN-10001141,43.9,5,15.9,0.2
CA-2016-169922,OFF-BI-10003784,1.3,4,-2.2,0.8
CA-2015-121783,FUR-FU-10004351,29.2,3,12.9,0
US-2014-157385,OFF-EN-10003160,21.8,3,10.5,0
CA-2015-110093,OFF-PA-10000174,16.4,2,5.6,0.2
CA-2015-130974,OFF-PA-10000743,40.1,6,19.2,0
CA-2014-102869,TEC-PH-10002549,135.5,1,-31.6,0.4
CA-2014-154781,TEC-AC-10000474,95,1,28.5,0
CA-2015-109386,OFF-AR-10000122,27.9,5,7,0
CA-2014-136742,OFF-BI-10003719,44.9,6,-35.9,0.7
CA-2017-100783,OFF-AR-10000380,30.4,1,3.8,0.2
CA-2016-121223,OFF-PA-10001204,8.4,2,2.6,0.2
CA-2016-111913,OFF-BI-10003291,21,3,7.1,0.2
US-2017-148768,TEC-PH-10002564,72,3,9,0.2
CA-2017-130302,TEC-AC-10002001,895.9,7,190.4,0.2
US-2017-136868,TEC-AC-10001539,320,4,115.2,0
CA-2015-112767,FUR-TA-10003469,277.5,4,-188.7,0.5
CA-2014-131387,TEC-PH-10001459,1680,5,126,0.2
CA-2016-125094,TEC-AC-10004420,479.7,4,52.8,0
CA-2016-121370,TEC-CO-10004115,1200,4,180,0.4
CA-2014-139892,TEC-MA-10000822,8160,8,-1360,0.4
CA-2017-156958,OFF-BI-10001543,172.8,6,60.5,0.2
CA-2017-107125,FUR-FU-10000732,18.8,3,6,0
CA-2014-164182,OFF-AR-10001044,41.6,2,4.7,0.2
CA-2017-104731,OFF-BI-10003355,14.9,3,7.2,0
CA-2015-168809,OFF-BI-10000315,3.8,1,-6.1,0.8
CA-2017-121048,FUR-FU-10002960,18.8,3,7.9,0
CA-2015-106978,OFF-EN-10004483,12.5,1,4.2,0.2
CA-2015-137064,OFF-BI-10002049,2.9,3,-5,0.8
CA-2017-165841,OFF-PA-10001144,166.4,3,79.9,0
CA-2015-165085,OFF-AP-10002518,356,2,103.2,0
CA-2015-150308,TEC-PH-10001433,246.2,3,21.5,0.2
CA-2016-167241,TEC-PH-10004614,165.6,3,10.4,0.2
CA-2016-103359,OFF-BI-10004233,25.6,2,9,0.2
CA-2017-165099,OFF-AP-10001634,1.4,2,-3.8,0.8
CA-2016-136287,OFF-LA-10003148,18.9,3,8.7,0
CA-2014-115056,OFF-AP-10003971,26.1,3,2,0.2
US-2014-119081,OFF-SU-10000157,357.9,3,7.2,0
CA-2015-112130,FUR-CH-10002965,844.1,6,-36.2,0.3
CA-2015-109512,OFF-ST-10000689,563.4,4,67.6,0
CA-2017-151428,OFF-BI-10000546,20.2,7,9.9,0
CA-2017-111815,FUR-CH-10000785,181,1,47.1,0
CA-2016-128531,OFF-PA-10000167,74.4,3,23.2,0.2
CA-2017-122105,OFF-AR-10004344,95.9,8,25.9,0
CA-2016-116379,OFF-BI-10001543,57.6,2,20.2,0.2
CA-2016-169943,FUR-FU-10000010,39.8,8,12.3,0
CA-2014-168592,OFF-ST-10002406,15,1,4.2,0
CA-2016-105662,OFF-PA-10001001,93.2,4,31.5,0.2
CA-2014-138709,OFF-BI-10000145,15.6,5,7.6,0
US-2017-155999,OFF-BI-10000404,13.8,2,4.6,0.2
CA-2014-166590,TEC-AC-10003433,2,2,0.9,0
CA-2017-112984,OFF-PA-10003657,20.5,6,6.4,0.2
CA-2017-166926,FUR-BO-10002598,142,2,41.2,0
US-2014-159618,TEC-AC-10003832,79.5,3,20.9,0.2
CA-2014-106572,OFF-ST-10000585,264.3,2,19.8,0.2
US-2016-158288,OFF-BI-10003364,78.8,9,-57.8,0.7
CA-2016-142398,OFF-BI-10004826,13.2,1,4.6,0.2
CA-2017-106068,OFF-ST-10004507,13.7,1,1.2,0.2
CA-2014-153969,OFF-AR-10001615,59.5,3,15.5,0
US-2016-116365,TEC-AC-10002942,165.6,3,-6.2,0.2
US-2015-118983,OFF-AP-10002311,68.8,5,-123.9,0.8
CA-2014-103849,TEC-PH-10002597,100.8,1,6.3,0.2
CA-2014-124646,OFF-ST-10001097,501.8,3,0,0
CA-2015-131534,OFF-PA-10000743,33.4,5,16,0
CA-2015-146262,OFF-LA-10004544,23.7,2,8.9,0.2
CA-2017-130841,OFF-BI-10000145,10,4,3.6,0.2
US-2016-152051,OFF-BI-10004781,38.1,4,-27.9,0.7
CA-2016-114104,TEC-PH-10004536,944.9,7,236.2,0
CA-2016-126935,OFF-BI-10004817,9.6,1,3.4,0.2
US-2014-127635,FUR-FU-10000550,10,5,-6.7,0.6
CA-2016-159912,OFF-BI-10002071,3.5,2,-2.8,0.7
US-2016-114174,OFF-LA-10000248,14.8,4,6.9,0
CA-2017-121048,OFF-FA-10000490,5,4,2.3,0
CA-2017-161018,FUR-FU-10000629,96.5,7,40.5,0
CA-2015-107678,OFF-BI-10002215,21.3,3,9.8,0
CA-2017-100202,TEC-PH-10002563,302.4,3,22.7,0.2
CA-2015-149636,OFF-PA-10004041,29.6,5,9.3,0.2
CA-2017-108791,FUR-FU-10004018,14.9,1,4,0
CA-2016-128972,FUR-FU-10003096,30.4,4,13.1,0
CA-2015-149846,OFF-LA-10004484,8.3,2,3.8,0
CA-2016-123337,OFF-AP-10002287,17.5,4,4.5,0
CA-2015-145401,OFF-PA-10004405,14.3,6,5,0.2
CA-2016-122728,OFF-PA-10004040,17.9,3,8.8,0
CA-2014-104283,TEC-AC-10000109,224,4,53.8,0
CA-2017-102379,TEC-PH-10001448,40,1,-8,0.2
CA-2016-132409,OFF-AP-10002082,34.8,2,6.5,0.2
CA-2017-152968,TEC-AC-10000521,23.1,2,6.9,0
US-2014-117163,OFF-AR-10003179,36.4,4,12,0
CA-2017-159149,TEC-PH-10000038,438.3,4,-87.7,0.2
CA-2014-164259,OFF-AR-10003373,99.1,4,8.7,0.2
CA-2015-135272,FUR-FU-10002759,79.9,4,28.8,0
CA-2017-101049,OFF-BI-10001510,41.3,6,-34.4,0.7
CA-2015-102778,FUR-FU-10000087,18.2,1,4.8,0.2
CA-2016-149685,OFF-LA-10004545,60.1,6,20.3,0.2
CA-2017-121909,OFF-PA-10003790,54.8,3,17.8,0.2
CA-2017-140872,TEC-AC-10003832,206,1,-2.6,0.2
CA-2017-108091,OFF-AR-10000255,23.4,4,6.1,0
US-2017-122672,OFF-ST-10002344,194.4,3,-43.7,0.2
CA-2017-100412,FUR-CH-10002647,142,2,35.5,0
CA-2017-147956,OFF-ST-10001097,1003.6,6,0,0
CA-2016-108364,OFF-BI-10002012,1.8,5,-2.9,0.8
CA-2015-137225,OFF-AR-10001940,3.3,1,1.4,0
US-2015-106873,TEC-AC-10002345,23.2,2,1.5,0.2
CA-2015-154326,TEC-PH-10000560,700,2,196,0
CA-2016-134936,OFF-BI-10002103,5.2,2,-4.2,0.7
US-2014-158400,OFF-BI-10002353,49.4,4,18.5,0.2
CA-2017-113355,TEC-PH-10004912,219.8,5,24.7,0.2
CA-2015-156146,TEC-PH-10001527,68.7,2,-14.6,0.2
CA-2016-166240,OFF-AP-10002082,8.7,2,-19.6,0.8
CA-2015-120880,OFF-ST-10001496,540.6,3,140.5,0
CA-2016-149279,OFF-PA-10003441,15.6,3,5.4,0.2
US-2016-108637,OFF-BI-10004965,46,4,20.7,0
CA-2015-136378,OFF-BI-10003707,9.2,3,-13.7,0.8
CA-2017-156237,FUR-CH-10002372,113.4,2,-29.2,0.3
CA-2015-103870,FUR-FU-10002030,53.4,3,16,0.2
US-2015-166520,OFF-PA-10000501,80.9,3,39.6,0
CA-2016-102932,OFF-SU-10000381,27.9,3,8.1,0
CA-2016-108350,OFF-PA-10003656,105.5,4,48.5,0
CA-2016-100041,OFF-BI-10000343,4.9,1,2.3,0
CA-2014-150798,OFF-PA-10001972,36.3,7,12.7,0.2
CA-2016-113236,TEC-AC-10001267,47.9,2,12,0.2
CA-2016-165673,OFF-PA-10000697,15.2,4,5.5,0.2
CA-2015-144302,OFF-BI-10001107,5.8,2,-9.6,0.8
CA-2016-147375,TEC-MA-10002937,1008,3,43.2,0.3
US-2014-125521,FUR-CH-10003379,1139.9,4,285,0
CA-2016-155005,TEC-PH-10003484,378,3,94.5,0
US-2016-143819,FUR-TA-10001095,836.6,8,-264.9,0.4
CA-2014-139451,OFF-AR-10002053,14.9,5,4.2,0
US-2014-151015,OFF-BI-10000343,2.9,3,-4.9,0.8
CA-2017-141117,OFF-BI-10003676,22.6,7,-16.6,0.7
CA-2017-112515,OFF-PA-10000062,164.9,3,80.8,0
CA-2014-169019,FUR-FU-10004666,17.5,3,-10.1,0.6
CA-2014-166863,OFF-ST-10004123,509.5,7,-127.4,0.2
CA-2017-130148,OFF-PA-10000551,31.1,6,15.2,0
CA-2017-147725,OFF-AR-10001725,71,3,18.4,0
CA-2017-146983,OFF-BI-10003650,1577.9,3,757.4,0
CA-2017-161067,OFF-PA-10000418,419.4,4,201.3,0
CA-2015-124800,TEC-PH-10001750,264,5,23.1,0.2
CA-2017-140872,TEC-AC-10002942,110.4,2,-4.1,0.2
CA-2016-113117,OFF-PA-10000019,32.4,5,15.6,0
CA-2017-139717,OFF-AP-10000938,646.3,8,64.6,0.2
CA-2017-155985,FUR-FU-10000758,211.8,8,76.3,0
CA-2016-154060,FUR-CH-10002304,187.1,9,11.7,0.2
CA-2014-105165,TEC-PH-10000675,196.8,3,14.8,0.2
CA-2016-160717,TEC-PH-10001760,477.6,3,161.2,0.2
CA-2015-104948,OFF-BI-10001267,9.9,2,3.5,0.2
US-2015-128587,TEC-CO-10003763,4899.9,7,2303,0
CA-2014-104780,OFF-AR-10003514,31.8,8,10.5,0
CA-2014-126403,FUR-CH-10003761,785.9,6,212.2,0
CA-2016-141523,OFF-AR-10001545,3.5,2,1,0
US-2015-168732,OFF-AR-10003087,1.8,1,0.5,0
CA-2015-151680,FUR-FU-10000305,142,2,22.7,0
CA-2017-131212,OFF-BI-10001617,24.8,3,8.4,0.2
CA-2017-150091,FUR-BO-10003404,2154.9,5,129.3,0
CA-2016-129868,OFF-AR-10001897,54,3,15.1,0
CA-2015-110289,OFF-PA-10002986,33.4,5,16,0
CA-2017-158106,OFF-AR-10002255,8.6,3,2.5,0
CA-2016-136371,FUR-FU-10000409,15,1,6.9,0
CA-2017-162481,FUR-CH-10003061,270,3,51.3,0
CA-2014-169852,OFF-BI-10001460,36.4,3,12.3,0.2
CA-2016-113733,TEC-AC-10004877,16.6,3,-2.5,0.2
CA-2015-135727,FUR-CH-10004540,192,7,16.8,0.2
CA-2016-163804,OFF-ST-10000142,2079.4,5,582.2,0
CA-2016-161095,OFF-BI-10001524,33.6,2,11.7,0.2
CA-2015-166135,OFF-ST-10002974,139.4,4,17.4,0.2
US-2017-126179,TEC-PH-10001557,288,3,77.8,0
CA-2017-146192,OFF-ST-10003716,675.1,3,87.8,0
CA-2017-141425,OFF-SU-10000646,384.6,2,-81.7,0.2
US-2016-158708,TEC-AC-10003133,13.6,2,3.6,0.2
US-2016-154256,OFF-LA-10003720,25.8,7,12.1,0
CA-2015-165624,OFF-PA-10003893,21.4,5,9.6,0
CA-2016-165316,OFF-AP-10003266,23.7,2,6.5,0.2
CA-2014-140039,OFF-ST-10001034,79.4,5,6,0.2
CA-2015-101868,TEC-AC-10004396,72.6,5,-8.2,0.2
CA-2016-164154,OFF-ST-10002562,37.5,5,3.8,0.2
CA-2017-100335,OFF-PA-10001685,73,9,26.5,0.2
CA-2015-156377,FUR-FU-10002364,14.8,5,-11.4,0.6
CA-2016-102813,FUR-CH-10000665,528.4,5,0,0.3
CA-2015-138954,OFF-BI-10003963,34.9,6,11.8,0.2
CA-2014-121573,TEC-PH-10000984,784,4,219.5,0
CA-2014-162992,OFF-FA-10004248,22.6,5,8.8,0
CA-2014-116190,OFF-LA-10002762,162.9,13,76.6,0
CA-2014-109302,OFF-BI-10002854,196.2,7,98.1,0
CA-2017-112809,OFF-BI-10001636,6.7,4,-11.5,0.8
CA-2016-151512,OFF-AP-10000252,18.7,2,3.5,0.2
CA-2014-132983,TEC-AC-10000736,160,2,57.6,0
CA-2015-147102,TEC-AC-10000682,66.4,4,23.2,0
CA-2014-144407,OFF-LA-10003923,103.6,7,51.8,0
CA-2017-167661,OFF-BI-10002571,39.9,5,13.5,0.2
US-2014-164763,OFF-PA-10003349,13,2,6.4,0
CA-2015-126466,OFF-FA-10000490,2.5,2,1.2,0
CA-2016-103709,OFF-AR-10003338,14.9,2,3.7,0
US-2017-141509,OFF-AR-10002067,99.2,5,25.8,0
CA-2017-134306,OFF-AR-10004027,7.6,3,3.1,0
CA-2016-126529,OFF-PA-10001166,15.6,3,5.4,0.2
CA-2017-159366,TEC-MA-10000822,3060,2,680,0.1
CA-2014-115812,FUR-FU-10001487,48.9,7,14.2,0
CA-2016-112025,OFF-BI-10002353,9.3,3,-13.9,0.8
US-2015-140851,OFF-PA-10000019,38.9,6,18.7,0
CA-2015-104346,FUR-FU-10002456,52.4,9,15.1,0.2
US-2017-105697,OFF-ST-10003996,25.7,2,1.9,0.2
CA-2014-153983,OFF-FA-10003495,30.4,5,15.2,0
CA-2015-146563,OFF-ST-10001490,999.4,7,124.9,0.2
US-2017-162558,OFF-BI-10000977,27.4,3,-21.9,0.7
CA-2014-165309,OFF-PA-10003724,21.7,5,7.9,0.2
US-2016-125402,OFF-PA-10000141,10.9,5,5.1,0
CA-2017-135909,TEC-PH-10003187,32,2,-8,0.2
US-2014-115413,OFF-AR-10003770,8.6,3,2.5,0
CA-2014-109855,TEC-AC-10002842,357,3,57.1,0
CA-2015-112214,FUR-FU-10002364,14.8,5,-11.4,0.6
CA-2014-123400,TEC-PH-10002890,181,5,13.6,0.2
CA-2017-119284,TEC-PH-10001051,240,3,27,0.2
US-2014-152030,FUR-CH-10004063,600.6,3,-8.6,0.3
CA-2016-163776,OFF-BI-10000404,8.6,1,4,0
CA-2017-145275,OFF-LA-10001569,14.9,3,6.9,0
CA-2017-110821,TEC-AC-10001552,119.4,3,-13.4,0.2
CA-2014-105340,OFF-BI-10001765,6.9,1,-11.1,0.8
CA-2017-143112,TEC-MA-10001047,5200,4,1352,0
CA-2017-139199,FUR-CH-10000847,872.9,3,227,0
CA-2015-155306,OFF-AP-10002651,1447.7,5,419.8,0
CA-2017-134194,OFF-BI-10001597,41,5,-65.6,0.8
CA-2014-145576,OFF-AP-10003914,13,5,1.3,0.2
US-2017-115252,TEC-PH-10004071,16,2,1.4,0.2
CA-2016-105732,OFF-AP-10001394,378,2,136.1,0
US-2017-162670,OFF-EN-10001453,182.9,3,86,0
CA-2016-139010,OFF-ST-10001809,449.2,5,9,0
CA-2014-152345,TEC-PH-10004897,24,3,-5.7,0.2
CA-2017-137505,FUR-TA-10000617,364.1,2,9.1,0.2
CA-2015-142755,OFF-PA-10001970,279.9,5,137.2,0
CA-2015-129896,FUR-FU-10002396,40.3,4,11.1,0.2
CA-2017-163265,OFF-ST-10000642,50.4,3,-8.2,0.2
CA-2014-125997,FUR-CH-10001394,631.8,2,140.4,0.1
US-2017-118535,OFF-LA-10001297,20.7,2,9.9,0
CA-2017-151750,OFF-BI-10000343,13.7,14,-22.7,0.8
CA-2016-128811,OFF-LA-10003720,11.1,3,5.2,0
CA-2017-121314,OFF-PA-10003395,251.6,3,88.1,0.2
CA-2016-140501,OFF-LA-10003510,122.1,4,56.2,0
US-2014-113124,OFF-ST-10001511,129.3,2,6.5,0
CA-2014-154095,OFF-PA-10002923,146.8,3,73.4,0
CA-2015-113628,TEC-PH-10000441,100.8,1,10.1,0.2
CA-2015-147011,OFF-AR-10002399,13.6,4,3.6,0.2
CA-2016-111605,OFF-LA-10002368,2.6,1,1.2,0
CA-2017-138149,OFF-ST-10002974,130.7,3,39.2,0
CA-2015-144519,TEC-PH-10004908,340,5,42.5,0.2
CA-2016-113600,OFF-BI-10000201,2.2,3,-1.5,0.7
CA-2016-157588,OFF-BI-10003963,36.4,5,17.1,0
US-2014-131275,FUR-FU-10004597,111,2,14.4,0
CA-2017-104731,OFF-AR-10003829,19.7,6,5.7,0
CA-2016-100510,FUR-FU-10000320,10,3,4.4,0
CA-2015-164882,FUR-BO-10002213,425.8,1,20,0.15
CA-2017-167871,OFF-PA-10001977,44.4,1,15.5,0.2
CA-2015-155334,OFF-BI-10002557,10.9,3,4.1,0.2
CA-2016-104633,OFF-PA-10004782,13,2,6.2,0
CA-2016-124793,FUR-CH-10002880,196.8,2,-22.1,0.2
CA-2017-142034,TEC-AC-10000990,655.9,5,275.5,0
CA-2017-124401,TEC-AC-10002926,279.9,7,80.5,0.2
CA-2014-128839,TEC-MA-10000029,210,3,90.3,0
CA-2016-129868,TEC-PH-10002275,302.4,2,30.2,0.2
CA-2014-151967,FUR-FU-10000193,129.9,4,10.4,0
CA-2017-159597,TEC-AC-10004171,100,1,44,0
US-2015-129007,FUR-CH-10000155,717.7,3,71.8,0.2
CA-2015-156510,OFF-AR-10004930,6.7,1,2.2,0
CA-2016-118101,OFF-BI-10000773,8,1,3.8,0
CA-2014-133592,OFF-PA-10002586,14.9,3,7,0
